,Book,Chapter,Start Verse,End Verse,Summary
0,GEN,1,1,2,God creates heaven and earth;
1,GEN,1,3,5,the light;
2,GEN,1,6,8,the firmament;
3,GEN,1,9,13,separates the dry land;
4,GEN,1,14,19,"forms the sun, moon, and stars;"
5,GEN,1,20,23,fishes and fowls;
6,GEN,1,24,25,"cattle, wild beasts, and creeping things;"
7,GEN,1,26,28,"creates man in his own image, blesses him;"
8,GEN,1,29,31,grants the fruits of the earth for food.
9,GEN,2,1,3,The first Sabbath.
10,GEN,2,4,7,Further particulars concerning the manner of creation.
11,GEN,2,8,14,"The planting of the garden of Eden, and its situation;"
12,GEN,2,15,17,man is placed in it; and the tree of knowledge only forbidden.
13,GEN,2,18,20,The animals are named by Adam.
14,GEN,2,21,25,"The making of woman, and the institution of marriage."
15,GEN,3,1,5,The serpent deceives Eve.
16,GEN,3,6,7,"Both she and Adam transgress the divine command, and fall into sin and misery."
17,GEN,3,8,13,God arraigns them.
18,GEN,3,14.,14,The serpent is cursed.
19,GEN,3,15.,15,The promised seed.
20,GEN,3,16,20,The punishment of mankind.
21,GEN,3,21.,21,Their first clothing.
22,GEN,3,22,24,Their expulsion from paradise.
23,GEN,4,1,7,"The birth, occupation, and offering of Cain and Abel."
24,GEN,4,8,10,Cain murders his brother Abel.
25,GEN,4,11,16,The curse of Cain.
26,GEN,4,17.,17,"Has a son called Enoch, and builds a city, which he calls after his name."
27,GEN,4,18,24,"His descendants, with Lamech and his two wives."
28,GEN,4,25.,25,"The birth of Seth,"
29,GEN,4,26.,26,and Enos.
30,GEN,5,1,2,Recapitulation of the creation of man.
31,GEN,5,3,21,"The genealogy, age, and death of the patriarchs from Adam to Noah."
32,GEN,5,22,24,The godliness and translation of Enoch.
33,GEN,5,25,32,"The birth of Noah, etc."
34,GEN,6,1,7,"The wickedness of the world, which provoked God's wrath, and caused the flood."
35,GEN,6,8.,8,Noah finds grace.
36,GEN,6,9,13,"His generations, etc."
37,GEN,6,14,22,"The order, form, dimensions, and end of the ark."
38,GEN,7,1,16,"Noah, with his family, and the living creatures, enter the ark, and the flood begins."
39,GEN,7,17,20,The increase and continuance of the flood for forty days.
40,GEN,7,21,23,All flesh is destroyed by it.
41,GEN,7,24.,24,Its duration.
42,GEN,8,1,3,"God remembers Noah, and assuages the waters."
43,GEN,8,4,5,The ark rests on Ararat.
44,GEN,8,6,12,Noah sends forth a raven and then a dove.
45,GEN,8,13,19,"Noah, being commanded, goes forth from the ark."
46,GEN,8,20,22,"He builds an altar, and offers sacrifice, which God accepts, and promises to curse the earth no more."
47,GEN,9,1,3,"God blesses Noah and his sons, and grants them flesh for food."
48,GEN,9,4,7,Blood and murder are forbidden.
49,GEN,9,8,17,"God's covenant, of which the rainbow was constituted a pledge."
50,GEN,9,18,19,Noah's family replenish the world.
51,GEN,9,20.,20,Noah plants a vineyard.
52,GEN,9,21,24,"Is drunken, and mocked by his son."
53,GEN,9,25.,25,Curses Canaan.
